,Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Currency,Price_in_CHF
3899,649000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,21.95,5.46,GRP,Italy Â» Imperia,34,EUR,612786
3900,649000,Motor Yacht,Windy power boats,"Used boat,Diesel",2017,14.84,3.99,GRP,Spain Â» Mallorca Â» Mallorca,63,EUR,612786
3901,649000,Motor Yacht,Fairline power boats,Used boat,2019,14.2,4.32,GRP,"Finland Â» Turku, (FI)",157,EUR,612786
3902,649000,Flybridge,Princess power boats,"Used boat,Diesel",2007,20.42,5.23,GRP,Turkey,76,EUR,612786
3903,645000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,15.75,4.29,GRP,Spain Â» Valencia,69,EUR,609009
3905,645000,Flybridge,Dominator power boats,"Used boat,Diesel",2007,19.75,5.15,GRP,Greece,24,EUR,609009
3906,645000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,15.79,4.3,GRP,Spain Â» Valencia,89,EUR,609009
3907,643790,Catamaran,Fountaine Pajot power boats,"new boat from stock,Diesel",2008,12.91,5.96,GRP,Germany Â» Ostsee Â» Laboe bei Kiel,69,EUR,607867
3908,643440,Motor Yacht,Fjord power boats,"new boat on order,Diesel",2020,13.45,4.25,PVC,France,75,EUR,607536
3910,585000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2019,13.93,4.33,GRP,United Kingdom Â» Swanwick,45,£,640926
3915,579950,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,15.79,4.3,GRP,United Kingdom Â» Swanwick,64,£,635393
3916,575000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,15.79,4.3,GRP,Spain Â» Mallorca Â» Mallorca,102,£,629970
3918,630000,Motor Yacht,Dominator power boats,"Used boat,Diesel",2008,19.76,5.15,GRP,Italy Â» Sizilien,36,EUR,594846
3920,630000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,17.92,4.79,PVC,"France Â» LA GRANDE MOTTE, France",85,EUR,594846
3921,629000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2008,17.88,4.95,GRP,Netherlands Â» Wanssum,27,EUR,593902
3923,629000,Flybridge,Azimut power boats,"Used boat,Diesel",2004,22.85,5.51,GRP,Croatia (Hrvatska) Â» Kroatien ,310,EUR,593902
3924,625000,Hardtop,Sunseeker power boats,"Used boat,Diesel",1999,24.38,5.89,GRP,Spain Â» Mallorca Â» Mallorca,77,EUR,590125
3925,625000,Flybridge,Princess power boats,"Used boat,Diesel",2011,16.57,4.57,GRP,Croatia (Hrvatska),64,EUR,590125
3926,625000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,15.1,4.27,GRP,Croatia (Hrvatska) Â» INFO DD-YACHTING,63,EUR,590125
3927,600000,Motor Yacht,Falcon Yachts power boats,"Used boat,Diesel",1995,27.5,6.1,GRP,Greece,85,EUR,566520
3929,600000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2012,19.48,5.11,GRP,Portugal Â» Algarve,145,EUR,566520
3930,600000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2000,22.6,5.43,GRP,Italy Â» Mar Tirreno,60,EUR,566520
3931,600000,Hardtop,Jaguar power boats,Used boat,2010,23.94,5.8,GRP,Italy Â» Liguria Â» Genova,87,EUR,566520
3933,600000,Motor Yacht,Riva power boats,"Used boat,Diesel",2002,18.59,4.75,GRP,Greece Â» Paleo Faliro,40,EUR,566520
3938,599000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,21.1,5.4,GRP,Croatia (Hrvatska) Â» INFO BOOTE RIEDL ZADAR,175,EUR,565576
3939,599000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2005,21.17,5.12,GRP,Croatia (Hrvatska),84,EUR,565576
3941,599000,Motor Yacht,Princess power boats,"Used boat,Diesel",2008,20.33,5.08,GRP,Croatia (Hrvatska) Â» INFO BOOTE RIEDL DUBROVNIK,190,EUR,565576
3943,599000,Motor Yacht,Sealine power boats,"Used boat,Diesel",2005,18.67,4.87,GRP,Spain Â» Mallorca Â» Cala dÂ´Or,75,EUR,565576
3945,599000,Flybridge,Elegance power boats,"Used boat,Diesel",2005,23.93,5.66,GRP,Spain Â» Mallorca Â» Palma ,154,EUR,565576
3946,599000,Motor Yacht,Integrity power boats,"Used boat,Diesel",2020,14.0,4.2,GRP,Germany Â» Rostock,63,EUR,565576
3947,599000,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2020,13.06,4.1,GRP,Germany Â» BÃ¶nningstedt,63,EUR,565576
3948,599000,Hardtop,Princess power boats,"Used boat,Diesel",2014,16.2,4.45,GRP,Germany Â» LÃ¼becker Bucht Â» GrÃ¶mitz,157,EUR,565576
3951,599000,Flybridge,Dominator power boats,"Used boat,Diesel",2006,18.55,5.08,GRP,Croatia (Hrvatska) Â» INFO BOOTE RIEDL NOVIGRAD,76,EUR,565576
3952,598000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2013,15.93,4.3,GRP,Spain Â» Santa Ponca ,130,EUR,564632
3953,595000,Motor Yacht,Rapsody power boats,Used boat,2008,16.65,4.85,GRP,France,135,EUR,561799
3955,595000,Motor Yacht,Riva power boats,Used boat,2007,16.12,4.64,GRP,Netherlands,135,EUR,561799
3957,595000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,23.07,5.21,GRP,Spain Â» Mallorca Â» Palma de Mallorca,52,EUR,561799
3958,595000,Flybridge,Fairline power boats,"Used boat,Diesel",2003,22.56,5.69,PVC,"Spain Â» Mallorca Â» PALMA DE MALLORCA, Espagne",75,EUR,561799
3959,590000,Flybridge,Astondoa power boats,"Used boat,Diesel",2000,21.8,5.44,PVC,"Spain Â» Altea, Espagne",49,EUR,557078
3960,590000,Flybridge,Ferretti power boats,"Used boat,Diesel",2008,17.0,5.0,GRP,Croatia (Hrvatska) Â» Dalmatia,88,EUR,557078
3962,590000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,22.86,5.21,GRP,France Â» St-Jean-Cap-Ferrat,118,EUR,557078
3963,590000,Motor Yacht,Maiora power boats,"Used boat,Diesel",2003,20.8,5.6,GRP,Croatia (Hrvatska),22,EUR,557078
3965,590000,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2001,22.01,5.69,GRP,Italy,57,EUR,557078
3966,590000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,13.5,4.15,PVC,"Spain Â» Barcelona, Espagne",57,EUR,557078
3967,590000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,21.95,5.22,GRP,France Â» La Napoule,52,EUR,557078
3968,590000,Flybridge,Astondoa power boats,Used boat,2001,22.2,5.5,GRP,Netherlands,60,EUR,557078
3970,590000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,19.61,5.0,GRP,Croatia (Hrvatska),91,EUR,557078
3971,589000,Flybridge,Ferretti power boats,"Used boat,Diesel",2009,18.3,5.0,GRP,Croatia (Hrvatska),72,EUR,556134
3972,587933,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2020,13.06,4.1,GRP,Germany Â» BÃ¶nningstedt,62,EUR,555126
3974,585400,Flybridge,Galeon power boats,"new boat from stock,Diesel",2008,14.35,4.37,GRP,Germany Â» AB WERFT,133,EUR,552735
3976,585000,Motor Yacht,Frauscher power boats,"Used boat,Unleaded",2016,13.9,3.9,GRP,Spain Â» Mallorca Â» Mallorca ,204,EUR,552357
3978,585000,Motor Yacht,Elling power boats,Used boat,2017,14.95,4.25,GRP,Netherlands,179,EUR,552357
3979,585000,Flybridge,Ferretti power boats,"Used boat,Diesel",2008,16.2,4.94,GRP,Croatia (Hrvatska),88,EUR,552357
3980,580000,Flybridge,Princess power boats,Used boat,2002,20.97,5.08,GRP,Finland Â» Turku (FI),96,EUR,547636
3981,580000,Flybridge,Sessa power boats,"new boat from stock,Diesel",2020,14.5,4.39,GRP,Italy Â» Toscana Â» Toscana,51,EUR,547636
3982,580000,Motor Yacht,Dominator power boats,"Used boat,Diesel",2003,20.3,5.5,GRP,Croatia (Hrvatska),13,EUR,547636
3983,580000,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",1999,24.95,6.17,GRP,Italy Â» Veneto Â» Veneto,63,EUR,547636
3984,580000,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",1998,24.95,6.17,GRP,Italy,38,EUR,547636
3987,579900,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2020,13.06,4.1,GRP,Germany Â» Bayern Â» Boote Pfister Schwebheim / Schweinfurt,115,EUR,547542
3988,579000,Hardtop,Pershing power boats,"Used boat,Diesel",2007,17.6,4.8,Hypalon,Spain Â» Costa Brava Â» Roses,145,EUR,546692
3989,579000,Flybridge,Sessa power boats,"Used boat,Diesel",2012,16.36,4.7,GRP,Croatia (Hrvatska) Â» Rovinj ,74,EUR,546692
3991,570000,Motor Yacht,Mangusta power boats,"Used boat,Diesel",2003,26.59,6.17,GRP,Italy,119,EUR,538194
3992,570000,Catamaran,Leopard power boats,"Used boat,Diesel",2017,13.0,6.72,GRP,Turkey Â» Istanbul,147,EUR,538194
3993,569000,Trawler,van der Heijden power boats,"Used boat,Diesel",2010,14.99,4.99,Steel,Germany Â» Kiel,132,EUR,537250
3994,569000,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2019,13.06,4.1,GRP,Germany Â» Berlin Â» Werder (Havel),83,EUR,537250
3996,565000,Motor Yacht,Cayman power boats,"Used boat,Diesel",2011,19.5,5.1,GRP,Croatia (Hrvatska) Â» NOVIGRAD,116,EUR,533473
3997,565000,Hardtop,Sessa power boats,"new boat from stock,Diesel",2020,15.7,4.28,GRP,Italy Â» Toscana Â» Toscana,136,EUR,533473
3998,4200000,Trawler,Apreamare power boats,Used boat,2007,15.5,4.9,GRP,Spain Â» Barcelona,60,DKK,531867
3999,601530,Motor Yacht,Windy power boats,"new boat from stock,Diesel",2008,12.27,3.69,GRP,"Switzerland Â» Bielersee Â» le Landeron, NeuchÃ¢tel ",194,CHF,601530
4000,560000,Motor Yacht,Astondoa power boats,"Display Model,Diesel",2008,20.17,5.0,GRP,Spain Â» Informationen BCM-Yachtsales,54,EUR,528752
4001,560000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2012,15.44,4.47,GRP,Montenegro Â» Tivat,35,EUR,528752
4002,560000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2003,20.73,1.6,GRP,Italy Â» Bari,81,EUR,528752
4003,560000,Flybridge,Hatteras power boats,"Used boat,Diesel",2003,16.43,5.26,GRP,Italy Â» Sardegna Â» Sardegna,47,EUR,528752
4004,560000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2009,17.6,4.62,GRP,Croatia (Hrvatska) Â» Split,114,EUR,528752
4005,560000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2009,17.6,4.63,GRP,Croatia (Hrvatska) Â» INFO DD-YACHTING,44,EUR,528752
4007,560000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2016,14.92,4.47,PVC,"France Â» VILLENEUVE LOUBET, ITALIE",100,EUR,528752
4008,559500,Motor Yacht,Belliure power boats,"Used boat,Diesel",2006,18.28,4.8,GRP,Spain Â» Costa Blanca Â» Calpe,51,EUR,528280
4009,559241,Flybridge,Sealine power boats,"new boat from stock,Diesel",2020,13.55,4.2,GRP,Germany Â» Nordsee Â» Info AMY-Brumund,132,EUR,528035
4010,559000,Flybridge,Galeon power boats,"Used boat,Diesel",2019,13.25,4.16,GRP,Spain Â» Mallorca Â» Mallorca ,107,EUR,527808
4013,601530,Motor Yacht,Windy power boats,"new boat from stock,Unleaded",2008,12.27,3.69,GRP,Switzerland Â» VierwaldstÃ¤ttersee Â» Stansstad,342,CHF,601530
4014,553576,Flybridge,Prestige Yachts power boats,new boat from stock,2020,13.06,4.1,GRP,Netherlands,49,EUR,522686
4017,550000,Motor Yacht,Ferretti power boats,"Used boat,Diesel",1998,22.33,5.68,GRP,Croatia (Hrvatska),55,EUR,519310
4018,550000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,18.88,4.75,GRP,Croatia (Hrvatska),123,EUR,519310
4021,549500,Flybridge,Azimut power boats,"Used boat,Diesel",2006,19.85,5.06,GRP,Spain Â» onbekend,44,EUR,518838
4022,549000,Flybridge,Azimut power boats,"Used boat,Diesel",2006,19.25,5.06,GRP,Croatia (Hrvatska) Â» INFO BOOTE RIEDL TROGIR,68,EUR,518366
4023,549000,Hardtop,Galeon power boats,"Used boat,Diesel",2016,13.28,4.18,PVC,"Belgium Â» Nieuwpoort, Belgique",182,EUR,518366
4026,549000,Trawler,Selene power boats,"Used boat,Diesel",2011,15.03,4.78,GRP,Slovenia Â» Greece,125,EUR,518366
4027,549000,Motor Yacht,Princess power boats,"Used boat,Diesel",2005,21.39,5.08,GRP,France,86,EUR,518366
4029,499950,Flybridge,Pearl power boats,"Used boat,Diesel",2013,15.01,4.42,PVC,"United Kingdom Â» Burton Waters, Burton Waters",74,£,547745
4030,548000,Flybridge,Astondoa power boats,"Used boat,Diesel",2001,22.34,5.45,GRP,Spain Â» Op aanvraag - Auf Anfrage - On request,55,EUR,517422
4031,499000,Flybridge,Sealine power boats,"Used boat,Diesel",2005,18.08,4.87,PVC,"United Kingdom Â» Ipswich, Suffolk, Ipswich, Suffolk",26,£,546704
4033,545000,Trawler,Verhoeven power boats,Used boat,2005,21.0,5.0,Steel,Netherlands Â» In verkoophaven,93,EUR,514589
4034,545000,Trawler,Linssen power boats,Used boat,2012,14.45,4.4,Steel,Netherlands Â» In verkoophaven,153,EUR,514589
4035,545000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2018,13.82,4.06,GRP,France,179,EUR,514589
4039,540000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2013,14.98,4.8,GRP,Montenegro Â» Tivat,102,EUR,509868
4040,540000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2013,14.98,4.8,GRP,Montenegro,105,EUR,509868
4041,540000,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",2000,22.0,5.67,GRP,Italy Â» Toscana Â» Toscana,41,EUR,509868
4042,540000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,19.05,4.97,GRP,France Â» Beaulieu sur Mer,149,EUR,509868
4043,539000,Hardtop,Pershing power boats,"Used boat,Diesel",2008,15.83,4.31,GRP,Spain Â» Costa Blanca Â» Calpe,129,EUR,508924
4044,539000,Trawler,Valk power boats,Used boat,2006,17.3,4.85,Steel,Netherlands Â» onbekend,83,EUR,508924
4045,539000,Flybridge,BÃ©nÃ©teau power boats,Used boat,2014,15.2,4.32,PVC,"Netherlands Â» In verkoophaven, In verkoophaven",104,EUR,508924
4046,539000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,19.06,4.9,GRP,Croatia (Hrvatska) Â» Sibenik,65,EUR,508924
4047,539000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,14.78,4.2,PVC,"France Â» Six-Fours-les-Plages, France",21,EUR,508924
4048,3999000,Trawler,Integrity power boats,Used boat,2016,14.4,4.35,GRP,Netherlands Â» Holland,66,DKK,506413
4051,525000,Hardtop,Mochi Craft power boats,"Used boat,Diesel",2008,16.46,4.9,GRP,Italy Â» Campania Â» Campania,106,EUR,495705
4052,525000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2014,14.99,4.32,GRP,Italy Â» Adria,188,EUR,495705
4053,525000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2017,13.8,4.37,GRP,Germany Â» Nordrhein-Westfalen Â» MÃ¼nster,147,EUR,495705
4055,525000,Motor Yacht,Monachus power boats,"Used boat,Diesel",2020,13.85,4.2,GRP,Croatia (Hrvatska) Â» Split,180,EUR,495705
4056,524400,Motor Yacht,Fiart Mare power boats,"new boat on order,Diesel",2020,13.7,3.99,PVC,France,110,EUR,495138
4057,475000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2008,19.63,5.03,GRP,Croatia (Hrvatska) Â» Lav,45,£,520410
4058,520000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2002,22.54,5.51,GRP,Malta Â» INFO BOOTE RIEDL,129,EUR,490984
4059,520000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2016,13.86,4.25,GRP,Croatia (Hrvatska) Â» Split,150,EUR,490984
4060,520000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,15.2,4.5,PVC,Sweden Â» SuÃ¨de,61,EUR,490984
4061,519900,Motor Yacht,Fairline power boats,"Used boat,Diesel",2013,15.55,4.47,GRP,United Kingdom Â» Gb SÃ¼d,53,EUR,490890
4062,519000,Sport Boat,Riva power boats,"Used boat,Diesel",2004,16.12,4.57,GRP,Switzerland Â» IBIZA ,413,EUR,490040
4063,517000,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2019,14.78,4.2,PVC,"France Â» LA GRANDE MOTTE, LA GRANDE MOTTE",33,EUR,488151
4064,515000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.78,4.15,PVC,"France Â» saint cyprien, saint cyprien",61,EUR,486263
4065,515000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.78,4.15,PVC,"France Â» saint cyprien, saint cyprien",54,EUR,486263
4066,514990,Motor Yacht,Princess power boats,"Used boat,Diesel",2010,16.2,4.45,GRP,Adria,75,EUR,486254
4068,505566,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2008,13.43,4.25,Steel,"France Â» PORNICHET, France",51,EUR,477355
4070,500000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,19.06,4.9,GRP,Croatia (Hrvatska),144,EUR,472100
4071,500000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2008,16.0,4.61,GRP,Croatia (Hrvatska) Â» Dalmatia (HR),147,EUR,472100
4072,500000,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",1999,22.0,5.6,GRP,Italy,43,EUR,472100
4074,500000,Flybridge,Bertram power boats,"Used boat,Diesel",2005,18.29,5.11,PVC,Martinique Â» Le Marin,67,EUR,472100
4079,499999,"Flybridge,Motor Yacht",BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,16.0,4.9,GRP,Italy Â» Friuli Venezia Giulia Â» Portopiccolo ,171,EUR,472099
4080,499000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2015,15.2,4.47,PVC,"France Â» Mandelieu la Napoule, Mandelieu la Napoule",51,EUR,471156
4081,499000,Flybridge,Galeon power boats,"new boat from stock,Diesel",2020,12.5,3.94,GRP,Spain Â» Mallorca Â» Palma de Mallorca ,159,EUR,471156
4083,499000,Flybridge,Galeon power boats,"Used boat,Diesel",2017,13.25,4.16,GRP,Germany Â» NÃ¤he Rostock,168,EUR,471156
4084,498000,Offshore Boat,Cigarette power boats,"Used boat,Unleaded",2007,15.37,2.38,Carbon Fiber,United Kingdom Â» London,271,EUR,470212
4085,498000,Flybridge,Fipa Italiana power boats,"Used boat,Diesel",2000,20.8,5.6,GRP,Croatia (Hrvatska) Â» INFO DD-YACHTING,43,EUR,470212
4086,498000,Trawler,Smelne power boats,Used boat,2011,15.5,4.55,Steel,"Netherlands Â» Niet in verkoophaven, bezichtiging op afspraak",39,EUR,470212
4087,498000,Flybridge,Princess power boats,"Used boat,Diesel",2009,15.32,4.57,GRP,Germany Â» Ostsee Â» Ostsee ,126,EUR,470212
4088,495737,Motor Yacht,Cranchi power boats,Used boat,2018,13.82,4.06,GRP,Netherlands,154,EUR,468075
4089,495000,Flybridge,Azimut power boats,"Used boat,Diesel",2013,13.46,4.31,GRP,Italy Â» Liguria Â» Liguria,57,EUR,467379
4094,495000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,16.58,4.92,GRP,Spain Â» Mallorca Â» Palma,123,EUR,467379
4095,495000,Motor Yacht,Pantera power boats,"Used boat,Diesel",2007,23.85,5.65,GRP,Spain Â» Costa Blanca Â» Alicante,222,EUR,467379
4097,495000,Trawler,Zijlmans power boats,Used boat,2008,17.0,4.9,Steel,Netherlands Â» In verkoophaven,140,EUR,467379
4098,495000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,14.99,4.65,PVC,"France Â» SAINT GILLES CROIX DE VIE, SAINT GILLES CROIX DE V",80,EUR,467379
4100,495000,Motor Yacht,Fipa Italiana power boats,"Used boat,Diesel",2000,21.0,5.0,GRP,Croatia (Hrvatska) Â» Kvarner,37,EUR,467379
4101,495000,Flybridge,Nimbus power boats,"Used boat,Diesel",2018,13.2,3.95,GRP,Croatia (Hrvatska) Â» Split,114,EUR,467379
4102,495000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2010,17.6,4.63,GRP,Spain Â» Mallorca Â» Mallorca,178,EUR,467379
4103,495000,Motor Yacht,Aquanaut power boats,"Used boat,Diesel",2016,15.0,3.78,Steel,Belgium Â» Zuid Nederlnd ,199,EUR,467379
4104,495000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,19.22,5.05,GRP,France,152,EUR,467379
4105,494000,Motor Yacht,BÃ©nÃ©teau power boats,"Display Model,Diesel",2019,13.43,4.2,GRP,Germany Â» Baden-WÃ¼rttemberg Â» Mannheim ,81,EUR,466435
4107,490000,Motor Yacht,Galeon power boats,"Used boat,Diesel",2016,13.46,3.9,GRP,Germany Â» Baden-WÃ¼rttemberg Â» Kressbronn,193,EUR,462658
4108,490000,Mega Yacht,Azimut power boats,"Used boat,Diesel",1992,29.57,6.03,GRP,Spain Â» Costa Brava Â» Camprils,420,EUR,462658
4110,489000,Flybridge,Ferretti power boats,"Used boat,Diesel",2008,16.02,4.94,GRP,Greece Â» auf Anfrage / on request / Griechenland / Greece,221,EUR,461714
4111,489000,Trawler,Integrity power boats,"Used boat,Diesel",2020,13.8,4.3,GRP,Germany Â» Rostock,40,EUR,461714
4113,3637500,Motor Yacht,Navalia power boats,"new boat from stock,Diesel",2003,19.81,5.1,GRP,Denmark Â» Frankrig,60,DKK,460635
4114,445000,Motor Yacht,Altena power boats,Used boat,1998,16.23,4.8,Steel,United Kingdom,67,£,487542
4115,488000,Motor Yacht,AICON Yachts power boats,"Used boat,Diesel",2006,22.5,5.3,GRP,Greece Â» Athen,111,EUR,460770
4116,3630000,Hardtop,Sealine power boats,"Used boat,Diesel",2020,13.55,4.2,GRP,Denmark Â» AB VÃRFT,66,DKK,459685
4117,444000,Flybridge,Princess power boats,"Used boat,Diesel",2005,17.68,4.57,GRP,United Kingdom Â» Poole,46,£,486446
4122,481908,Motor Yacht,Fjord power boats,"new boat from stock,Diesel",2020,11.5,3.64,PVC,France,57,EUR,455018
4125,480000,Motor Yacht,Benetti power boats,"Used boat,Diesel",1978,23.8,5.8,Steel,Croatia (Hrvatska),83,EUR,453216
4128,480000,Flybridge,Dalla Pieta power boats,"Used boat,Diesel",2007,17.86,4.61,GRP,Italy Â» Lavagna,42,EUR,453216
4129,480000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,14.78,4.15,PVC,"France Â» Golfe Juan, Golfe Juan",80,EUR,453216
4130,480000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,15.73,4.27,PVC,"France Â» Mandelieu la Napoule, France",73,EUR,453216
4131,480000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2005,19.84,5.26,GRP,Italy Â» Montemarcello,52,EUR,453216
4132,480000,Flybridge,Azimut power boats,"Used boat,Diesel",2002,22.45,5.51,GRP,Malta Â» Malta,113,EUR,453216
4133,480000,Motor Yacht,Mangusta power boats,"Used boat,Diesel",2000,25.08,5.9,GRP,Greece,110,EUR,453216
4135,437506,Deck Boat,Jeanneau power boats,"new boat from stock,Diesel",2019,15.37,4.57,PVC,"United Kingdom Â» Southampton, Southampton",74,£,479332
4136,479900,Flybridge,Yaretti power boats,"Used boat,Diesel",2005,21.8,5.7,GRP,Croatia (Hrvatska) Â» INFO BOOTE RIEDL,109,EUR,453122
4137,479000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2005,21.17,5.07,GRP,Croatia (Hrvatska) Â» INFO BOOTE RIEDL NOVIGRAD,200,EUR,452272
4138,479000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,19.3,5.05,GRP,Croatia (Hrvatska),57,EUR,452272
4140,479000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,15.2,4.5,PVC,"France Â» CANET EN ROUSSILLON, France",126,EUR,452272
4141,471700,Motor Yacht,Galeon power boats,"new boat from stock,Diesel",2008,13.5,4.25,GRP,Germany Â» AB WERFT,65,EUR,445379
4142,470000,Motor Yacht,Bertram power boats,Used boat,2000,16.46,5.16,GRP,Croatia (Hrvatska) Â» onbekend,68,EUR,443774
4143,470000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2011,15.2,4.5,GRP,Spain Â» Alicante,90,EUR,443774
4144,470000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,15.85,4.63,GRP,Croatia (Hrvatska) Â» Rijeka,29,EUR,443774
4146,470000,Hardtop,Alfamarine power boats,Used boat,2008,18.96,4.6,GRP,Italy Â» Toscana Â» Toscana,47,EUR,443774
4147,470000,Flybridge,Canados power boats,"Used boat,Diesel",1997,23.7,6.0,GRP,Italy Â» Toscana Â» Toscana,46,EUR,443774
4148,469000,Motor Yacht,Franchini power boats,"Used boat,Diesel",2006,17.15,4.8,GRP,Spain Â» Mallorca Â» Mallorca,130,EUR,442830
4149,469000,Motor Yacht,Azimut power boats,Used boat,2015,13.35,4.4,GRP,"Finland Â» Kotka, (FI)",76,EUR,442830
4150,469000,Hardtop,Azimut power boats,"Used boat,Diesel",2008,18.41,4.98,GRP,Italy Â» Liguria Â» Genua / Genoa / Genova Italy ,166,EUR,442830
4151,469000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.78,4.2,PVC,"France Â» CANET EN ROUSSILLON, France",41,EUR,442830
4152,469000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,15.73,4.27,PVC,"France Â» MANDELIEU, MANDELIEU",41,EUR,442830
4153,468000,Motor Yacht,Fiart Mare power boats,"new boat on order,Diesel",2020,11.87,3.88,PVC,France,53,EUR,441886
4154,465000,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2005,16.65,4.65,GRP,Portugal Â» Lisbon,36,EUR,439053
4155,465000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,17.02,4.63,GRP,Croatia (Hrvatska),62,EUR,439053
4156,465000,Flybridge,Azimut power boats,"Used boat,Diesel",2002,21.6,5.4,GRP,Italy Â» Mar Tirreno,103,EUR,439053
4158,463000,Motor Yacht,Princess power boats,"Used boat,Diesel",2007,18.0,4.0,GRP,Croatia (Hrvatska) Â» Dalmatia,92,EUR,437165
4159,462360,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.88,4.25,PVC,"France Â» Lorient, France",34,EUR,436560
4160,419950,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2020,13.92,4.09,PVC,"United Kingdom Â» Burton Waters, Royaume Uni",53,£,460097
4162,419950,Motor Yacht,Sealine power boats,"Used boat,Diesel",2012,15.36,4.76,PVC,"United Kingdom Â» Inverkip, Inverkip",31,£,460097
4163,460428,Motor Yacht,Fjord power boats,new boat from stock,2020,11.63,3.64,GRP,France,135,EUR,434736
4164,460000,Hardtop,Azimut power boats,"Used boat,Diesel",2004,20.74,5.2,GRP,Italy,92,EUR,434332
4165,460000,Trawler,Linssen power boats,"Used boat,Diesel",2010,14.7,4.45,Steel,Germany Â» Berlin Â» Berlin,103,EUR,434332
